DESC,BED,BATH,PRICE,LOCATION
Open place shop for rent at a considerate price,16/20 m²,"Accra, Commercial Property"
Executive Chamber & hall self con 4 rent East legon,1,1,800,"Accra, Apartments"
"For rent,3bdrms hse@Spintex Community 18",3,4,"2000","Accra, Houses"
Executive 3bedrooms self compound for rent at spintex,3,4,"Accra, Apartments"
For Rent 1000sqm werehouse @ Achimota,1000 sqft,"19600","Accra, Commercial Property"
"For rent, 4bdrms hse@Spintex Batsonaa",4,5,"7350","Accra, Houses"
3 Bedroom house for rent Ogbojo,3,4,"2000","Accra, Houses"
Chamber and hall self contain for rent at Adenta,1,1,"Accra, Apartments"
"For rent,4bdrms hse@Airport Hills",4,5,"26950","Accra, Houses"
"For rent,4bdrms hse @East Legon Adjiringanor",4,5,"5880","Accra, Houses"
3 Bedroom house for rent at Adenta,3,4,"1500","Accra, Houses"
2 bedroom apartment for rent at Spintex,2,1,"2100","Accra, Apartments"
Luxurious 2 bedroom apartment for rent at Spintex,2,3,"10000","Accra, Apartments"
Executive 3 bedroom apartment for rent at Spintex,3,4,"55000","Accra, Apartments"
Executive 3 bedroom apartment for rent at Spintex,3,4,"9000","Accra, Apartments"
"For rent,4 bdrms hse@La East",4,4,"12250","Greater Accra, Houses"
"For rent,4 bdrms hse@East Legon",4,5,"6400","Accra, Houses"
"For rent,2bdrms apartment @East Airport",2,3,"5500","Accra, Apartments"
Fully furnished three bedrooms self compound house for rent in achimota,3,2,"5500","Accra, Houses"
pool newly 2bed for 6month rent @Trasaaco,2,3,"3420","Accra, Apartments"
New storey building 4bed rent @Achimota mall,4,5,"8000","Accra, Houses"
3 Bedroom Apartment for Rent at West Legon.,3,2,"Accra, Apartments"
chamber and hall S/C for rent at teshie penny,1,1,"Accra, Apartments"
single self contained for rent at Awoshie back of odokonor sch,1,1,250,"Accra, Apartments"
executive 2 bedrooms apartment for rent at Adjiringanor Galaxy,2,2,"1500","Accra, Apartments"
2 bed apt for rent@blockfactory new weija,2,2,"Accra, Apartments"
3 bedroom house for rent -Asokore,3,2,450,"Kumasi, Houses"
"For rent, 5 bedroom house @Airport Hills",5,6,"29150","Accra, Houses"
Newly built chamber and hall at Atimatim-Taabuom for rent,1,1,250,"Kumasi, Apartments"
Executive 3 bedroom 4 rent Adenta,3,2,850,"Greater Accra, Apartments"
3bedrm wit 3washrm for rent in spintex,3,3,700,"Accra, Apartments"
Executive 3 bed apt for rent@Redtop,3,2,"Accra, Apartments"
New 5 bedroom for rent at Kwabenya,5,5,"4200","Accra, Houses"
Shop for rent Legos Avenue East Legon,500 m²,"4000","Accra, Commercial Property"
1000 square meter warehouse for rent at spintex,1000 sqft,"30890","Accra, Commercial Property"
Two bedroom apartment for rent after Amasaman Tollbooth,2,2,"Greater Accra, Apartments"
2 bed S/C in Achimota 4 rent,2,2,"Accra, Apartments"
EXECUTIVE TWO BEDROOMS AT NORTH LEGON FOR RENT,2,2,"Accra, Apartments"
2bedrooms Apartment In Alanjo For Rent,2,2,"1500","Accra, Apartments"
Warehouse For Rent Kasoa New Market Down,78 sqft,"Accra, Commercial Property"
for rent 2_bed apartment at lashibi,2,3,"1800","Accra, Apartments"
Awoshie Cp Newly Built 2 Bedrooms Apartment For Rent,2,2,"Accra, Apartments"
Awoshie Anyaa 3 Bedrooms Self Compound house For Rent,3,3,"Accra, Houses"
3 bed room self compound House for rent at Awoshie Anyaa,3,3,"1200","Accra, Houses"
executive 2 bedrooms apartment for rent at Adjiringanor,2,2,"1500","Accra, Apartments"
An executive 3 bed room house for rent at Awoshie,3,3,"1200","Accra, Houses"
4 bedroom house for rent at Agbogba,4,4,"2000","Accra, Houses"
2 bedroom apartment for rent at Agbobga,2,2,"1500","Accra, Apartments"
6 bedrooms mansion for Rent @ East Airport (Tseado),6,6,"Accra, Houses"
4 bedrooms beautiful Hse for Rent @ Adjiringano,4,5,"Accra, Houses"
Three Bedroom Self-contained Apartment For Rent At Madina,3,3,"1000","Accra, Apartments"
4 beautiful bedrooms Hse for Rent @ Adjiringanor,4,5,"Accra, Houses"
2 bedroom apartment for rent at Awoshie onyinase.,2,1,800,"Accra, Apartments"
fully furnished 2bedroom rent @Airport,2,3,"2550","Accra, Short Term Rentals"
executive 3 bedroom house for rent at East legon,3,4,"Accra, Houses"
3 bedroom self compound house for rent at Spintex Baatsona,3,3,"2700","Accra, Houses"
4 bedroom apartment for rent at Spintex H. F. C Estate,4,4,"1800","Accra, Apartments"
3 bedroom apartment for rent at Spintex Coastal,3,3,"1500","Accra, Apartments"
Airport road 3 bedroom furnished for rent,3,4,"5200","Accra, Short Term Rentals"
Executive Ch &hall self cont 4 rent at Atomic down,1,1,800,"Accra, Apartments"
New 2bed self contain apt for rent @Pokuase,2,2,"1200","Accra, Apartments"
fully furnished 3bedroom RENT@Kumasi,3,4,"16000","Kumasi, Apartments"
