Name,What,Region,Country,Lat,Long,Elev
Segberi,4,6,9.95,0.16,830,4020
Segbewu,4,6,9.55,-0.03,830,4128
Segpino,4,6,9.55,-0.03,830,4128
Sekpe,2,6,9.58,-0.27,830,14108
Sekpiegu,4,6,9.55,-0.03,830,4128
Sekwe,2,6,9.58,-0.27,830,14108
Sekwi,2,6,9.58,-0.27,830,14108
Simoli,4,6,10.00,-0.52,830,2235
Singa,4,6,9.73,-1.06,830,5975
So,4,6,10.26,-1.09,830,2682
Somajile,4,6,10.11,-0.27,830,2235
Somayile,4,6,10.11,-0.27,830,2235
Somayili,4,6,10.11,-0.27,830,2235
Soo,4,6,10.03,-0.98,830,2786
Soo,4,6,10.26,-1.09,830,2682
Tachegu,4,6,10.08,0.30,830,4005
Tacheku,4,6,10.08,0.30,830,4005
Tamale,3,6,9.40,-0.84,830,58544
Tamale,4,6,9.69,-0.83,830,5308
Tampion,4,6,9.58,-0.68,830,5215
Tampiong,4,6,9.58,-0.68,830,5215
Tampulima Yabum,4,6,10.01,-1.32,830,1534
Tanpola funk,4,6,10.50,-0.99,830,3828
Tantali,4,6,10.20,-1.54,830,2682
Tatiegu,4,6,10.08,0.30,830,4005
Techagou,4,6,10.08,0.30,830,4005
Tiakaso,4,6,10.02,0.31,830,3976
Tidjo,4,6,9.52,-0.53,830,3614
Tijaw,4,6,9.52,-0.53,830,3614
Tijo,4,6,9.52,-0.53,830,3614
Tion,4,6,9.64,-0.07,830,2382
Tjēgassu,4,6,10.02,0.31,830,3976
Tschopowa,4,6,9.71,0.32,830,3782
Tudjoe,4,6,9.52,-0.53,830,3614
Tuwua,4,6,9.75,-0.11,830,2268
Tuúwa,4,6,9.75,-0.11,830,2268
Tuúwū,4,6,9.75,-0.11,830,2268
Uoch,4,6,10.13,0.15,830,4023
Voggo,4,6,9.53,-1.04,830,6705
Vogo,4,6,9.53,-1.04,830,6705
Vogu,4,6,10.13,0.15,830,4023
Wagu,4,6,10.13,0.15,830,4023
